,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
349,Jerry Bird,1959,1959,F,6-6,210,"February 2, 1935",Kentucky
350,Larry Bird*,1980,1992,F,6-9,220,"December 7, 1956",Indiana State University
351,Otis Birdsong,1978,1989,G,6-3,190,"December 9, 1955",Houston
352,Gale Bishop,1949,1949,F,6-3,195,"June 4, 1922",Washington State
353,Goga Bitadze,2020,2021,C,6-11,250,"July 20, 1999",
354,Bismack Biyombo,2012,2021,C-F,6-8,255,"August 28, 1992",
355,Nemanja Bjelica,2016,2021,F,6-10,234,"May 9, 1988",
356,Uwe Blab,1986,1990,C,7-1,252,"March 26, 1962",Indiana
357,Charlie Black,1949,1952,F-C,6-5,200,"June 15, 1921",Kansas
358,Norman Black,1981,1981,G,6-5,185,"November 12, 1957",Saint Joseph's
359,Tarik Black,2015,2018,C-F,6-9,250,"November 22, 1991","Memphis, Kansas"
360,Tom Black,1971,1971,C,6-10,220,"July 9, 1941",South Dakota State
361,Rolando Blackman,1982,1994,G,6-6,190,"February 26, 1959",Kansas State
362,Alex Blackwell,1993,1993,F,6-6,250,"June 27, 1970",Monmouth University
363,Cory Blackwell,1985,1985,F,6-6,210,"March 27, 1963",Wisconsin
364,James Blackwell,1995,1995,G,6-0,190,"February 25, 1968",Dartmouth College
365,Nate Blackwell,1988,1988,G,6-4,170,"February 15, 1965",Temple
366,DeJuan Blair,2010,2016,F-C,6-7,270,"April 22, 1989",Pitt
367,Steve Blake,2004,2016,G,6-3,172,"February 26, 1980",Maryland
368,Antonio Blakeney,2018,2019,G,6-4,192,"October 4, 1996",LSU
369,Will Blalock,2007,2007,G,6-0,205,"September 8, 1983",Iowa State
370,George Blaney,1962,1962,G,6-1,175,"November 12, 1939",Holy Cross
371,Lance Blanks,1991,1993,G,6-4,190,"September 9, 1966","Virginia, Texas"
372,Ricky Blanton,1993,1993,F,6-7,215,"April 21, 1966",LSU
373,Andray Blatche,2006,2014,F,6-11,235,"August 22, 1986",
374,Mookie Blaylock,1990,2002,G,6-0,180,"March 20, 1967","Midland College, Oklahoma"
375,Eric Bledsoe,2011,2021,G,6-1,214,"December 9, 1989",Kentucky
376,Keljin Blevins,2021,2021,F,6-4,200,"November 24, 1995","Southern Miss, Montana State"
377,Leon Blevins,1951,1951,G,6-2,160,"June 25, 1926",Arizona
378,John Block,1967,1976,F-C,6-9,207,"April 16, 1944",USC
379,Mike Bloom,1948,1949,F-C,6-6,190,"January 14, 1915",Temple
380,Jaron Blossomgame,2019,2019,F,6-8,220,"September 16, 1993",Clemson
381,Corie Blount,1994,2004,F,6-9,240,"January 4, 1969",Cincinnati
382,Mark Blount,2001,2009,C,7-0,230,"November 30, 1975",Pitt
383,Vander Blue,2014,2018,G,6-4,200,"July 17, 1992",Marquette
384,Ray Blume,1982,1982,G,6-4,185,"September 23, 1958",Oregon State
385,Nelson Bobb,1950,1953,G,6-0,170,"February 25, 1924",Temple
386,Tony Bobbitt,2005,2005,G,6-4,190,"October 22, 1979",Cincinnati
387,Bucky Bockhorn,1959,1965,G,6-4,200,"July 8, 1933",Dayton
388,Tom Boerwinkle,1969,1978,C,7-0,265,"August 23, 1945",Tennessee
389,Keith Bogans,2004,2014,G-F,6-5,215,"May 12, 1980",Kentucky
390,Bogdan Bogdanović,2018,2021,G,6-6,220,"August 18, 1992",
391,Bojan Bogdanović,2015,2021,G-F,6-8,226,"April 18, 1989",
392,Muggsy Bogues,1988,2001,G,5-3,136,"January 9, 1965",Wake Forest
393,Andrew Bogut,2006,2019,C,7-0,260,"November 28, 1984",Utah
394,Etdrick Bohannon,1998,2001,F,6-9,220,"May 29, 1973","Arizona, Tennessee, Auburn University at Montgomery"
395,Bol Bol,2020,2021,F-C,7-2,220,"November 16, 1999",Oregon
396,Manute Bol,1986,1995,C,7-7,200,"October 16, 1962",University of Bridgeport
397,Jonah Bolden,2019,2020,F,6-8,220,"January 2, 1996",UCLA
398,Marques Bolden,2020,2021,C,6-10,249,"April 17, 1998",Duke
399,Bill Bolger,1954,1954,F,6-5,205,"August 21, 1931",Georgetown
400,Joel Bolomboy,2017,2018,F,6-9,235,"January 28, 1994",Weber State
401,Doug Bolstorff,1958,1958,G,6-4,195,"October 29, 1931",Minnesota
402,George Bon Salle,1962,1962,F,6-8,220,"July 1, 1935",Illinois
403,Phil Bond,1978,1978,G,6-2,175,"July 27, 1954",Louisville
404,Walter Bond,1993,1995,G,6-5,200,"February 1, 1969",Minnesota
405,Jordan Bone,2020,2021,G,6-2,180,"November 5, 1997",Tennessee
406,Dexter Boney,1997,1997,G,6-4,185,"April 27, 1970",UNLV
407,Isaac Bonga,2019,2021,G,6-8,180,"November 8, 1999",
408,Ron Bonham,1965,1968,F,6-5,192,"May 31, 1942",Cincinnati
409,Anthony Bonner,1991,1996,F,6-8,215,"June 8, 1968",Saint Louis
410,Matt Bonner,2005,2016,F,6-10,235,"April 5, 1980",Florida
411,Butch Booker,1970,1970,C,6-10,230,"July 20, 1945",Cheyney (PA)
412,Devin Booker,2016,2021,G,6-5,206,"October 30, 1996",Kentucky
413,Melvin Booker,1996,1997,G,6-1,185,"August 20, 1972",Missouri
414,Trevor Booker,2011,2018,F,6-8,228,"November 25, 1987",Clemson
415,Josh Boone,2007,2010,F-C,6-10,237,"November 21, 1984",UConn
416,Ron Boone,1969,1981,G-F,6-2,200,"September 6, 1946",Idaho State University
417,Calvin Booth,2000,2009,C,6-11,230,"May 7, 1976",Penn State
418,Keith Booth,1998,1999,F,6-6,226,"October 9, 1974",Maryland
419,Bob Boozer,1961,1971,F,6-8,215,"April 26, 1937",Kansas State
420,Carlos Boozer,2003,2015,F-C,6-9,258,"November 20, 1981",Duke
421,Curtis Borchardt,2004,2005,C,7-0,240,"September 13, 1980",Stanford
422,Jake Bornheimer,1949,1950,F-C,6-5,200,"June 29, 1927",Muhlenberg College
423,Lazaro Borrell,2000,2000,F,6-8,220,"September 20, 1972",
424,Ike Borsavage,1951,1951,C-F,6-8,220,"July 25, 1924",Temple
425,Vince Boryla,1950,1954,F,6-5,210,"March 11, 1927",Denver
426,Chris Bosh,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Tech
427,Jim Bostic,1978,1978,F,6-7,225,"January 28, 1953",New Mexico State
428,Lawrence Boston,1980,1980,F,6-8,225,"May 18, 1956",Maryland
429,Tom Boswell,1976,1984,F-C,6-9,220,"October 2, 1953","South Carolina State, South Carolina"
430,Chris Boucher,2018,2021,F,6-9,200,"January 11, 1993",Oregon
431,Ruben Boumtje-Boumtje,2002,2004,C,7-0,257,"May 20, 1978",Georgetown
432,Don Boven,1950,1953,F-G,6-4,210,"March 6, 1925",Western Michigan
433,Cal Bowdler,2000,2002,F,6-10,245,"March 31, 1977",Old Dominion
434,Brian Bowen,2020,2021,F,6-6,190,"October 2, 1998",
435,Bruce Bowen,1997,2009,F,6-7,185,"June 14, 1971",Cal State Fullerton
436,Ryan Bowen,2000,2010,F,6-7,215,"November 20, 1975",Iowa
437,Tommie Bowens,1968,1970,F-C,6-8,220,"July 7, 1940",Grambling State University
438,Anthony Bowie,1989,1998,G-F,6-6,190,"November 9, 1963",Oklahoma
439,Sam Bowie,1985,1995,C-F,7-1,235,"March 17, 1961",Kentucky
440,Orbie Bowling,1968,1968,C,6-10,215,"March 21, 1939",Tennessee
441,Ira Bowman,2000,2002,G,6-5,195,"June 11, 1973","Providence, Penn"
442,Ky Bowman,2020,2020,G,6-1,187,"June 16, 1997",Boston College
443,Nate Bowman,1967,1972,C,6-10,230,"March 19, 1943",Wichita State
444,Donnie Boyce,1996,1997,G,6-5,196,"September 2, 1973",Colorado
445,Dennis Boyd,1979,1979,G,6-1,175,"May 21, 1954",Detroit Mercy
446,Freddie Boyd,1973,1978,G,6-2,180,"June 13, 1950",Oregon State
447,Ken Boyd,1975,1975,F,6-5,195,"March 25, 1952",Boston University
448,Earl Boykins,1999,2012,G,5-5,135,"June 2, 1976",Eastern Michigan
449,Harry Boykoff,1950,1951,C,6-10,225,"July 24, 1922",St. John's
450,Winford Boynes,1979,1981,G-F,6-6,185,"May 17, 1957",San Francisco
451,Cedric Bozeman,2007,2007,G,6-6,207,"March 7, 1983",UCLA
452,Steve Bracey,1973,1975,G,6-1,175,"August 1, 1950",Tulsa
453,Craig Brackins,2011,2012,F,6-10,230,"October 9, 1987",Iowa State
454,Gary Bradds,1965,1971,F,6-8,210,"July 26, 1942",Ohio State
455,Alex Bradley,1982,1982,F,6-6,215,"October 30, 1959",Villanova
456,Alonzo Bradley,1978,1980,F,6-6,190,"October 16, 1953",Texas Southern
457,Avery Bradley,2011,2021,G,6-3,180,"November 26, 1990",Texas
458,Bill Bradley,1968,1968,G,5-11,165,"June 16, 1941",
459,Bill Bradley*,1968,1977,F-G,6-5,205,"July 28, 1943",Princeton
460,Charles Bradley,1982,1984,G,6-5,215,"May 16, 1959",Wyoming
461,Dudley Bradley,1980,1989,G-F,6-6,195,"March 19, 1957",UNC
462,Jim Bradley,1974,1976,F,6-8,215,"March 16, 1952",Northern Illinois
463,Joe Bradley,1950,1950,G,6-3,175,"September 24, 1928",Oklahoma State
464,Michael Bradley,2002,2006,F-C,6-10,245,"April 18, 1979","Kentucky, Villanova"
465,Shawn Bradley,1994,2005,C,7-6,235,"March 22, 1972",BYU
466,Tony Bradley,2018,2021,F-C,6-10,248,"January 8, 1998",UNC
467,Mark Bradtke,1997,1997,C-F,6-10,265,"September 27, 1968",
468,Marques Bragg,1996,1996,F,6-8,230,"March 24, 1970",Providence
469,Torraye Braggs,2004,2005,F,6-8,245,"May 15, 1976",Xavier
470,A.J. Bramlett,2000,2000,C,6-10,227,"January 10, 1977",Arizona
471,Adrian Branch,1987,1990,F-G,6-7,185,"November 17, 1963",Maryland
472,Elton Brand,2000,2016,F-C,6-8,275,"March 11, 1979",Duke
473,Terrell Brandon,1992,2002,G,5-11,180,"May 20, 1970",Oregon
474,Bob Brannum,1950,1955,F-C,6-5,215,"May 28, 1926",Michigan State
475,Brad Branson,1982,1983,C-F,6-10,220,"September 24, 1958",SMU
476,Jesse Branson,1966,1968,F,6-7,195,"January 7, 1942",Elon University
477,Jarrell Brantley,2020,2021,F,6-5,250,"June 7, 1996",College of Charleston
478,Jim Brasco,1953,1953,G,6-1,170,"February 3, 1931",NYU
479,Mike Bratz,1978,1986,G,6-2,185,"October 17, 1955",Stanford
480,Carl Braun*,1948,1962,G-F,6-5,180,"September 25, 1927",Colgate
481,Ignas Brazdeikis,2020,2021,F,6-6,221,"January 8, 1999",Michigan
482,Tim Breaux,1995,1998,F,6-7,215,"September 19, 1970",Wyoming
483,J.R. Bremer,2003,2004,G,6-2,185,"September 19, 1980",St. Bonaventure
484,Pete Brennan,1959,1959,F,6-6,205,"September 23, 1936",UNC
485,Tom Brennan,1955,1955,F,6-3,195,"August 6, 1930",Villanova
486,Randy Breuer,1984,1994,C,7-3,230,"October 11, 1960",Minnesota
487,Corey Brewer,2008,2020,F-G,6-9,186,"March 5, 1986",Florida
488,Jamison Brewer,2002,2005,G,6-4,184,"November 19, 1980",Auburn
489,Jim Brewer,1974,1982,F-C,6-9,210,"December 3, 1951",Minnesota
490,Ron Brewer,1979,1986,G,6-4,180,"July 16, 1955",Arkansas
491,Ronnie Brewer,2007,2014,G-F,6-7,220,"March 20, 1985",Arkansas
492,Primož Brezec,2002,2010,C,7-2,252,"October 2, 1979",
493,Frankie Brian,1950,1956,G,6-1,180,"May 1, 1923",LSU
494,Frank Brickowski,1985,1997,F-C,6-9,240,"August 14, 1959",Penn State
495,Junior Bridgeman,1976,1987,F-G,6-5,210,"September 17, 1953",Louisville
496,Bill Bridges,1963,1975,F-C,6-6,228,"April 4, 1939",Kansas
497,Mikal Bridges,2019,2021,G,6-6,209,"August 30, 1996",Villanova
498,Miles Bridges,2019,2021,G-F,6-6,225,"March 21, 1998",Michigan State
499,Al Brightman,1947,1947,F,6-2,195,"September 22, 1923",University of Charleston
500,Aud Brindley,1947,1947,F,6-4,175,"December 31, 1923",Dartmouth College
501,Isaiah Briscoe,2019,2019,G,6-3,215,"April 13, 1996",Kentucky
502,John Brisker,1970,1975,F-G,6-5,210,"June 15, 1947",Toledo
503,Oshae Brissett,2020,2020,F,6-7,210,"June 20, 1998",Syracuse
504,Allan Bristow,1974,1983,F-G,6-7,210,"August 23, 1951",Virginia Tech
505,Tyrone Britt,1968,1968,G,6-4,190,"April 18, 1944",Johnson C. Smith University
506,Wayman Britt,1978,1978,G,6-2,185,"August 31, 1952",Michigan
507,Mike Brittain,1986,1987,C,7-0,235,"June 21, 1963",South Carolina
508,Dave Britton,1981,1981,G,6-4,180,"August 29, 1958",Texas A&M
509,Jon Brockman,2010,2012,F,6-7,255,"March 20, 1987",Washington
510,Ryan Broekhoff,2019,2020,F,6-6,215,"August 23, 1990",Valparaiso
511,Jim Brogan,1982,1983,G,6-4,185,"February 24, 1958",West Virginia Wesleyan College
512,Malcolm Brogdon,2017,2021,G,6-5,229,"December 11, 1992",Virginia
513,Gary Brokaw,1975,1978,G,6-4,178,"January 11, 1954",Notre Dame
514,Price Brookfield,1949,1950,F-G,6-4,185,"May 11, 1920",West Texas A&M University
515,Clarence Brookins,1971,1971,F,6-4,190,,Temple
516,Aaron Brooks,2008,2018,G,6-0,161,"January 14, 1985",Oregon
517,Dillon Brooks,2018,2021,F-G,6-7,225,"January 22, 1996",Oregon
518,Kevin Brooks,1992,1994,F,6-6,200,"October 12, 1969",Louisiana
519,MarShon Brooks,2012,2019,G-F,6-5,200,"January 26, 1989",Providence
520,Michael Brooks,1981,1988,F,6-7,220,"August 17, 1958",La Salle
521,Scott Brooks,1989,1998,G,5-11,165,"July 31, 1965","TCU, University of California, Irvine"
522,Andre Brown,2007,2009,F,6-9,245,"May 12, 1981",DePaul
523,Anthony Brown,2016,2018,F-G,6-7,210,"October 10, 1992",Stanford
524,Bob Brown,1949,1950,F,6-4,205,"November 12, 1923",Miami University
525,Bobby Brown,2009,2018,G,6-2,175,"September 24, 1984",Cal State Fullerton
526,Bruce Brown,2019,2021,G,6-4,202,"August 15, 1996",Miami (FL)
527,Charlie Brown,2020,2020,G,6-6,199,"February 2, 1997",Saint Joseph's
528,Chucky Brown,1990,2002,F,6-7,214,"February 29, 1968",NC State
529,Damone Brown,2002,2005,F,6-9,200,"June 28, 1979",Syracuse
530,Darrell Brown,1949,1949,F,6-2,175,"March 14, 1923",Humboldt State University
531,Dee Brown,1991,2002,G,6-1,160,"November 29, 1968",Jacksonville University
532,Dee Brown,2007,2009,G,6-0,185,"August 17, 1984",Illinois
533,Derrick Brown,2010,2012,F,6-7,225,"September 8, 1987",Xavier
534,Devin Brown,2003,2010,G,6-5,220,"December 30, 1978",Texas-San Antonio
535,Ernest Brown,2002,2002,C,7-0,244,"May 17, 1979",Indian Hills Community College
536,Fred Brown,1972,1984,G,6-3,182,"August 7, 1948",Iowa
537,George Brown,1958,1958,F,6-6,190,"October 30, 1935",Wayne State University
538,Gerald Brown,1999,1999,G,6-4,210,"July 28, 1975",Pepperdine
539,Harold Brown,1947,1947,G,6-0,155,"October 2, 1923",University of Evansville
540,Jabari Brown,2015,2015,G,6-4,215,"December 18, 1992","Oregon, Missouri"
541,Jaylen Brown,2017,2021,F-G,6-6,223,"October 24, 1996",California
542,John Brown,1974,1980,F,6-7,220,"December 14, 1951",Missouri
543,Kedrick Brown,2002,2005,G,6-7,222,"March 18, 1981",Okaloosa-Walton Community College
544,Kwame Brown,2002,2013,F,6-11,270,"March 10, 1982",
545,Larry Brown*,1968,1972,G,5-9,160,"September 14, 1940",UNC
546,Leon Brown,1947,1947,F,6-3,190,"October 12, 1919",Wyoming
547,Lewis Brown,1981,1981,C,6-11,225,"February 19, 1955",UNLV
548,Lorenzo Brown,2014,2019,G,6-5,189,"August 26, 1990",NC State
549,Marcus Brown,1997,2000,G,6-3,185,"April 3, 1974",Murray State
550,Markel Brown,2015,2018,G,6-3,190,"January 29, 1992",Oklahoma State
551,Mike Brown,1987,1997,C-F,6-9,257,"July 19, 1963",George Washington
552,Moses Brown,2020,2021,C,7-2,245,"October 13, 1999",UCLA
553,Myron Brown,1992,1992,G,6-3,180,"November 3, 1969",Slippery Rock University of Pennsylvania
554,P.J. Brown,1994,2008,F-C,6-11,225,"October 14, 1969",Louisiana Tech
555,Randy Brown,1992,2003,G,6-2,190,"May 22, 1968","Houston, New Mexico State"
556,Raymond Brown,1990,1990,F,6-8,220,"July 5, 1965","Mississippi State, Idaho"
557,Rickey Brown,1981,1985,C-F,6-10,215,"August 20, 1958",Mississippi State
558,Roger Brown*,1968,1975,F-G,6-5,205,"May 22, 1942",Dayton
559,Roger Brown,1973,1980,C,6-11,225,"February 23, 1950",Kansas
560,Shannon Brown,2007,2015,G,6-4,205,"November 29, 1985",Michigan State
561,Stan Brown,1948,1952,F,6-3,200,"June 27, 1929",
562,Sterling Brown,2018,2021,G,6-5,219,"February 10, 1995",SMU
563,Tierre Brown,2002,2005,G,6-2,189,"June 3, 1979",McNeese State University
564,Tony Brown,1985,1992,F-G,6-6,185,"July 29, 1960",Arkansas
565,Troy Brown,2019,2021,G-F,6-6,215,"July 28, 1999",Oregon
566,Jim Browne,1949,1950,C,6-10,235,"January 1, 1930",
567,Stanley Brundy,1990,1990,F,6-6,210,"November 13, 1967",DePaul
568,Brian Brunkhorst,1969,1969,F,6-6,208,"June 12, 1945",Marquette
569,George Bruns,1973,1973,G,6-0,160,"August 30, 1946",Manhattan College
570,Jalen Brunson,2019,2021,G,6-1,190,"August 31, 1996",Villanova
571,Rick Brunson,1998,2006,G,6-4,190,"June 14, 1972",Temple
572,Nicolás Brussino,2017,2018,G-F,6-7,195,"March 2, 1993",
573,Em Bryant,1965,1972,G,6-1,175,"November 4, 1938",DePaul
574,Joe Bryant,1976,1983,F-C,6-9,185,"October 19, 1954",La Salle
575,Kobe Bryant*,1997,2016,G-F,6-6,212,"August 23, 1978",
576,Mark Bryant,1989,2003,F-C,6-9,245,"April 25, 1965",Seton Hall
577,Thomas Bryant,2018,2021,C,6-10,248,"July 31, 1997",Indiana
578,Wallace Bryant,1984,1986,C,7-0,245,"July 14, 1959",San Francisco
579,Torgeir Bryn,1990,1990,C,6-9,250,"August 8, 1964",Texas State University
580,George Bucci,1976,1976,G,6-3,200,"July 9, 1953",Manhattan College
581,Joe Buckhalter,1962,1963,F,6-7,210,"August 1, 1937",Tennessee State
582,Steve Bucknall,1990,1990,G,6-6,215,"March 17, 1966",UNC
583,Cleveland Buckner,1962,1963,F-C,6-9,210,"August 17, 1938",Jackson State University
584,Greg Buckner,2000,2009,G,6-4,210,"September 16, 1976",Clemson
585,Quinn Buckner,1977,1986,G,6-3,190,"August 20, 1954",Indiana
586,Dave Budd,1961,1965,F,6-6,205,"October 28, 1938",Wake Forest
587,Chase Budinger,2010,2016,F,6-7,209,"May 22, 1988",Arizona
588,Walt Budko,1949,1952,F-C,6-5,220,"July 30, 1925",Columbia University
589,Jud Buechler,1991,2002,F-G,6-6,220,"June 19, 1968",Arizona
590,Rodney Buford,2000,2005,G-F,6-5,189,"November 2, 1977",Creighton
591,Matt Bullard,1991,2002,F,6-10,215,"June 5, 1967","Colorado, Iowa"
592,Reggie Bullock,2014,2021,G-F,6-6,205,"March 16, 1991",UNC
593,Larry Bunce,1968,1969,C,7-0,240,"July 29, 1945",Utah State University
594,Greg Bunch,1979,1979,F,6-6,190,"May 15, 1956",Cal State Fullerton
595,Dick Bunt,1953,1953,G,6-0,170,"July 13, 1930",NYU
596,Bill Buntin,1966,1966,C-F,6-7,250,"May 5, 1942",Michigan
597,Bill Bunting,1970,1972,F-C,6-8,200,"August 26, 1947",UNC
598,Ticky Burden,1976,1978,G,6-2,185,"February 28, 1953",Utah
599,Pat Burke,2003,2007,C-F,6-11,250,"December 14, 1973",Auburn
600,Trey Burke,2014,2021,G,6-0,185,"November 12, 1992",Michigan
601,Roger Burkman,1982,1982,G,6-5,175,"May 22, 1958",Louisville
602,Alec Burks,2012,2021,G,6-6,214,"July 20, 1991",Colorado
603,Antonio Burks,2005,2006,G,6-1,200,"February 25, 1980",Memphis
604,Kevin Burleson,2006,2006,G,6-3,205,"September 4, 1979",Minnesota
605,Tom Burleson,1975,1981,C,7-2,225,"February 24, 1952",NC State
606,Jack Burmaster,1950,1950,G,6-3,190,"December 23, 1926",Illinois
607,David Burns,1982,1982,G,6-2,180,"July 3, 1958",Saint Louis
608,Evers Burns,1994,1994,F,6-8,260,"August 24, 1971",Maryland
609,Jim Burns,1968,1968,G,6-3,195,"September 21, 1945",Northwestern
610,Scott Burrell,1994,2001,G-F,6-7,218,"January 12, 1971",UConn
611,Art Burris,1951,1952,F,6-5,220,"April 7, 1924",Tennessee
612,Junior Burrough,1996,1996,F,6-8,242,"January 18, 1973",Virginia
613,Bob Burrow,1957,1958,C-F,6-7,228,"June 29, 1934",Kentucky
614,Deonte Burton,2019,2020,G,6-4,240,"January 31, 1994","Marquette, Iowa State"
615,Ed Burton,1962,1965,F,6-6,225,"August 13, 1939",Michigan State
616,Willie Burton,1991,1999,F-G,6-8,210,"May 26, 1968",Minnesota
617,Steve Burtt,1985,1993,G,6-2,185,"November 5, 1962",Iona College
618,Don Buse,1973,1985,G,6-4,190,"August 10, 1950",University of Evansville
619,David Bustion,1973,1973,F,6-8,215,"August 30, 1949",Denver
620,Donnie Butcher,1962,1966,G,6-2,200,"February 8, 1936",Pikeville College
621,Al Butler,1962,1965,G,6-2,175,"July 9, 1938",Niagara University
622,Caron Butler,2003,2016,F,6-7,228,"March 13, 1980",UConn
623,Greg Butler,1989,1991,C,6-11,240,"March 11, 1966",Stanford
624,Jackie Butler,2005,2007,F-C,6-10,250,"March 10, 1985",
625,Jimmy Butler,2012,2021,F-G,6-7,230,"September 14, 1989",Marquette
626,Mike Butler,1969,1972,G,6-2,170,"October 22, 1946",Memphis
627,Mitchell Butler,1994,2004,G-F,6-5,210,"December 15, 1970",UCLA
628,Rasual Butler,2003,2016,F-G,6-7,215,"May 23, 1979",La Salle
629,Dwight Buycks,2014,2018,G,6-3,190,"March 6, 1989",Marquette
630,Derrick Byars,2012,2012,F,6-7,220,"April 25, 1984","Virginia, Vanderbilt"
631,Andrew Bynum,2006,2014,C,7-0,285,"October 27, 1987",
632,Will Bynum,2006,2015,G,6-0,185,"January 4, 1983","Arizona, Georgia Tech"
633,Walter Byrd,1970,1970,F,6-7,205,,Temple
634,Marty Byrnes,1979,1983,F,6-7,215,"April 30, 1956",Syracuse
635,Tommy Byrnes,1947,1951,F-G,6-3,175,"February 19, 1923",Seton Hall
636,Michael Bytzura,1947,1947,F,6-1,170,"June 18, 1922",Long Island University
637,Žarko Čabarkapa,2004,2006,F,6-11,235,"May 21, 1981",
638,Barney Cable,1959,1964,F,6-7,175,"July 29, 1935",Bradley
639,Bruno Caboclo,2015,2021,F-C,6-9,218,"September 21, 1995",
640,Devontae Cacok,2020,2021,F,6-7,240,"October 8, 1996",UNC Wilmington
641,Jason Caffey,1996,2003,F,6-8,255,"June 12, 1973",Alabama
642,Michael Cage,1985,2000,F-C,6-9,224,"January 28, 1962",San Diego State
643,Gerry Calabrese,1951,1952,G,6-1,175,"February 4, 1925",St. John's
644,Nick Calathes,2014,2015,G,6-6,213,"February 7, 1989",Florida
645,José Calderón,2006,2019,G,6-3,200,"September 28, 1981",
646,Adrian Caldwell,1990,1998,F-C,6-8,265,"July 4, 1966","SMU, Lamar"
647,Jim Caldwell,1968,1969,C,6-10,240,"January 28, 1943",Georgia Tech
648,Joe Caldwell,1965,1975,F-G,6-5,195,"November 1, 1941",Arizona State
649,Kentavious Caldwell-Pope,2014,2021,G,6-5,204,"February 18, 1993",Georgia
650,Bill Calhoun,1949,1955,F-G,6-3,180,"November 4, 1927",City College of San Francisco
651,Corky Calhoun,1973,1980,F,6-7,210,"November 1, 1950",Penn
652,Demetrius Calip,1992,1992,G,6-1,165,"November 18, 1969",Michigan
653,Tom Callahan,1947,1947,G,6-1,180,"June 2, 1921",Rockhurst University
654,Rick Calloway,1991,1991,F,6-6,180,"December 12, 1966","Indiana, Kansas"
655,Ernie Calverley,1947,1949,G,5-10,145,"January 30, 1924",Rhode Island
656,Mack Calvin,1970,1981,G,6-0,165,"July 27, 1947",USC
657,Dexter Cambridge,1993,1993,F,6-7,224,"January 29, 1970",Texas
658,Marcus Camby,1997,2013,C-F,6-11,220,"March 22, 1974",UMass
659,Facundo Campazzo,2021,2021,G,5-10,195,"March 23, 1991",
660,Elden Campbell,1991,2005,C,6-11,215,"July 23, 1968",Clemson
661,Tony Campbell,1985,1995,F-G,6-7,215,"May 7, 1962",Ohio State
662,Isaiah Canaan,2014,2019,G,6-0,201,"May 21, 1991",Murray State
663,Vlatko Čančar,2020,2021,F,6-8,236,"April 10, 1997",
664,Larry Cannon,1970,1974,G,6-4,195,"April 12, 1947",La Salle
665,Clint Capela,2015,2021,C,6-10,240,"May 18, 1994",
666,Derrick Caracter,2011,2011,F,6-9,275,"May 4, 1988","Louisville, Texas-El Paso"
